program: 	particles picked with ApTiltPicker
DATA image2name: rawu048b.jpg
DATA image1name: rawu049b.jpg
DATA filetype: text
DATA savetime: Mon Jan 19 17:12:19 2009 PDT
date: 	Mon Jan 19 17:12:19 2009 PDTf
theta:	49.90947
gamma:	-77.14274
phi:  	-77.81210
shiftx:  	1.80936
shifty:  	-2.28049
image 1: 	rawu049b.jpg
520,1380, 517.1,1381.1,  3.108, 
628,1380, 634.6,1376.2,  8.073, 
784,1392, 785.1,1392.0,  1.126, 
940,1368, 937.8,1365.7,  4.521, 
770,1540, 774.6,1537.0,  5.891, 
1474,1546, 1475.5,1545.9,  1.520, 
1442,1320, 1443.1,1323.4,  5.464, 
1324,1232, 1325.1,1235.3,  5.396, 
1356,1290, 1358.4,1292.7,  5.188, 
1246,1314, 1248.8,1316.6,  5.301, 
1158,1284, 1156.5,1283.9,  1.574, 
1232,1242, 1232.8,1242.0,  0.828, 
1542,708, 1543.8,702.9,  7.675, 
1250,1120, 1252.9,1118.4,  3.483, 
1458,1018, 1461.6,1019.2,  4.445, 
1402,732, 1402.6,730.8,  1.802, 
1292,786, 1291.8,786.2,  0.376, 
740,938, 744.7,935.7,  5.448, 
546,838, 543.9,837.8,  2.252, 
622,822, 621.4,823.2,  1.827, 
397,1065, 394.3,1067.5,  4.244, 
423,1118, 422.3,1119.4,  2.174, 
394,1200, 394.9,1199.1,  1.507, 
344,1169, 341.1,1171.6,  4.560, 
158,1041, 155.1,1042.3,  3.263, 
215,1097, 216.7,1099.2,  4.106, 
225,1153, 226.0,1152.8,  1.018, 
324,1378, 327.7,1374.5,  5.907, 
363,1338, 366.7,1335.8,  4.548, 
430,1396, 425.8,1397.5,  4.479, 
425,1452, 424.4,1451.3,  1.302, 
358,1469, 356.2,1470.3,  2.481, 
212,1356, 212.8,1354.3,  2.499, 
204,1416, 204.5,1417.9,  3.104, 
263,1440, 263.9,1438.4,  2.500, 
253,1492, 249.8,1491.3,  3.649, 
117,1414, 116.2,1413.8,  0.962, 
263,1333, 261.8,1331.8,  2.454, 
622,1501, 621.2,1501.1,  0.825, 
535,1223, 537.8,1222.1,  2.985, 
176,1139, 178.9,1136.5,  4.319, 
227,845, 228.0,848.7,  5.919, 
213,781, 210.0,784.7,  5.964, 
285,894, 284.6,896.8,  4.294, 
355,867, 354.5,869.8,  4.283, 
321,779, 322.1,784.2,  8.292, 
381,681, 380.3,679.6,  2.341, 
657,745, 658.5,744.0,  1.956, 
734,737, 728.7,734.7,  7.119, 
686,906, 688.2,906.5,  2.513, 
839,951, 837.7,951.2,  1.298, 
877,922, 876.9,920.3,  2.571, 
1081,718, 1082.5,715.2,  4.199, 
1148,669, 1146.7,667.8,  2.531, 
1503,739, 1507.0,739.5,  4.347, 
1484,975, 1483.7,973.4,  2.583, 
1518,1043, 1520.5,1044.9,  4.174, 
1480,1098, 1477.9,1100.3,  3.715, 
1501,1180, 1501.0,1181.5,  2.241, 
1473,1384, 1474.2,1382.2,  2.748, 
1523,1374, 1524.4,1377.2,  5.456, 
1235,1537, 1236.6,1537.0,  1.653, 
1323,1512, 1320.0,1512.2,  3.102, 
1370,1551, 1371.8,1549.6,  2.552, 
1420,1521, 1420.5,1520.5,  0.839, 
1056,1440, 1054.5,1436.8,  5.335, 
1024,1391, 1025.0,1390.9,  1.001, 
1073,1366, 1073.2,1367.1,  1.748, 
856,1575, 850.9,1573.0,  6.594, 
932,1557, 929.6,1556.4,  2.866, 
1012,1549, 1011.0,1550.6,  2.518, 
963,1485, 965.0,1484.5,  2.033, 
903,1514, 901.6,1514.3,  1.437, 
716,1284, 716.0,1282.7,  1.991, 
744,1254, 744.4,1252.7,  1.896, 
748,1192, 750.7,1189.3,  4.490, 
704,1180, 708.7,1179.8,  4.846, 
688,1464, 684.1,1466.2,  4.737, 
1012,1156, 1015.1,1157.3,  4.075, 
820,724, 829.3,712.2,  18.724, 
1068,940, 1068.4,935.2,  7.231, 
